name,description,smartItemId,typeID,volume,mass,radius,portionSize,groupID,groupName,categoryID,category Name,icon
Gallente Basic Outpost Plant Platform,A basic upgrade to Gallente Outpost manufacturing capabilities. Gives 1% Material Efficiency reduction to all manufacturing jobs (stacks with all other improvements of the same type).,73271889510265638408071607088133003622641304737817391408482823341158076233632,27983,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico27983.png
Minmatar Basic Outpost Plant Platform,A basic upgrade to Minmatar Outpost manufacturing capabilities. Gives 1% Material Efficiency reduction to all manufacturing jobs (stacks with all other improvements of the same type).,24889934574286587003485720090108664791430518749550865939375912929141841643698,27985,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico27985.png
Gallente Basic Outpost Laboratory Platform,"A basic upgrade to Gallente Outpost research capabilities. Gives a 10% cost reduction to Material Efficiency, Time Efficiency, Copy, Invention jobs (stacks with all other improvements of the same type) and gives a research time reduction on all Copying research of 20%.",12969650148640301459428656925343996988992574646597317059098671955672771222610,28005,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico28005.png
Gallente Outpost Laboratory Platform,"An intermediate upgrade to Gallente Outpost research capabilities. Gives an additional 10% cost reduction to Material Efficiency, Time Efficiency, Copy, Invention jobs (stacks with all other improvements of the same type) and increases the research time reduction on all Copying research to 40%.",112828109412238336318732048749157156115454520878673630290003714184734220602176,28007,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico28007.png
Gallente Advanced Outpost Laboratory Platform,"An advanced upgrade to Gallente Outpost research capabilities. Gives an additional 10% cost reduction to Material Efficiency, Time Efficiency, Copy, Invention jobs (stacks with all other improvements of the same type) and increases the research time reduction on all Copying research to 60%.",72815982011309526163463302999366146557358151375917229924676415602319701813175,28009,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico28009.png
Minmatar Basic Outpost Laboratory Platform,"A basic upgrade to Minmatar Outpost research capabilities. Gives a 10% cost reduction to Material Efficiency, Time Efficiency, Copy jobs (stacks with all other improvements of the same type) and gives a research time reduction on all ME research of 20%.",63100538040998113801605947512558452180562086999611344170849312916457023588132,28011,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico28011.png
Minmatar Outpost Laboratory Platform,"An intermediate upgrade to Minmatar Outpost research capabilities. Gives an additional 10% cost reduction to Material Efficiency, Time Efficiency, Copy jobs (stacks with all other improvements of the same type) and increases the research time reduction on all ME research to 40%.",1477781043486471792984742280046799545590530869092460033213933754981396267229,28013,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico28013.png
Minmatar Advanced Outpost Laboratory Platform,"An advanced upgrade to Minmatar Outpost research capabilities. Gives an additional 10% cost reduction to Material Efficiency, Time Efficiency, Copy jobs (stacks with all other improvements of the same type) and increases the research time reduction on all ME research to 60%.",84908204112053173338639164229486686637701817725809025612838333352052492323921,28015,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico28015.png
Gallente Basic Outpost Refinery Platform,"Installs a basic refinery into Gallente Outposts. Increases ore and ice reprocessing efficiency to 52%.

Note: does not affect anything else but the two groups mentioned above.",54600417425492998742412169116264907913413041439766848140167302106348367062671,28029,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico28029.png
Gallente Outpost Refinery Platform,"An intermediate upgrade to Gallente Outpost refining facilities. Increases ore and ice reprocessing efficiency to 54%.

Note: does not affect anything else but the two groups mentioned above.",21115702974394539105776948226263098538277456897472740905702134685125210321328,28031,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico28031.png
Gallente Advanced Outpost Refinery Platform,"An advanced upgrade to Gallente Outpost refining facilities. Increases ore and ice reprocessing efficiency to 57%.

Note: does not affect anything else but the two groups mentioned above.",14220807858398326053333291697010793141715986411444858395782192340948314698938,28033,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico28033.png
Minmatar Basic Outpost Refinery Platform,"A basic upgrade to Minmatar Outpost refining facilities. Increases ore and ice reprocessing efficiency to 54%.

Note: does not affect anything else but the two groups mentioned above.",88901002490952566922390898503669043921228810379059595711339133013724395797690,28035,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico28035.png
Minmatar Outpost Refinery Platform,"An intermediate upgrade to Minmatar Outpost refining facilities. Increases ore and ice reprocessing efficiency to 57%.

Note: does not affect anything else but the two groups mentioned above.",22774977259902186236640439691756019587342122591347303427143872307618638992698,28037,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico28037.png
Minmatar Advanced Outpost Refinery Platform,"An advanced upgrade to Minmatar Outpost refining facilities. Increases ore and ice reprocessing efficiency to 60%.

Note: does not affect anything else but the two groups mentioned above.",80538496926219729337899064130011812562556894816291712886783771549111230969909,28039,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico28039.png
Gallente Basic Outpost Office Platform,A basic upgrade to Gallente Outpost office facilities. Gives an additional twelve office slots.,60912402228864663376746787366742291455619750020619962094880896894932164172431,28053,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico28053.png
Gallente Outpost Office Platform,An intermediate upgrade to Gallente Outpost office facilities. Gives an additional twenty four office slots.,90306443026175695296889601883536173503369484742658749870904646125006497345588,28055,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico28055.png
Gallente Advanced Outpost Office Platform,An advanced upgrade to Gallente Outpost office facilities. Gives an additional thirty six office slots.,2576716962026223630939907281284218411388444139138514862799688342204537486221,28057,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico28057.png
Minmatar Basic Outpost Office Platform,A basic upgrade to Minmatar Outpost office facilities. Gives an additional seven office slots.,49958256615551050223139307490545190832751323941913016820653999789181667406740,28059,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico28059.png
Minmatar Outpost Office Platform,An intermediate upgrade to Minmatar Outpost office facilities. Gives an additional ten office slots.,21012305699286036788081543676025892723059108235608371060819999620759607091816,28061,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico28061.png
Minmatar Advanced Outpost Office Platform,An advanced upgrade to Minmatar Outpost office facilities. Gives an additional fifteen office slots.,36608909649766852680166466819803475445482221840360270787744456554817127162218,28063,750000,0,1000,1,836,Station Improvement Platform,2,Celestial,ico28063.png
Cosmic Anomaly,A cosmic signature.,18523135289816783119822290101225975669957314114126599095023828341109846065755,28356,1,0,1,1,885,Cosmic Anomaly,2,Celestial,ico28356.png
Corpse Female,,15918426965716404526482031603745241696717782952157338502045454077184940652618,29148,2,80,,1,14,Biomass,2,Celestial,ico29148.png
Gunnery,Basic turret operation skill. 2% Bonus to weapon turrets' rate of fire per skill level.,40243253728227437504152694772762155353303792348190725525930794449527274563758,3300,0.01,0,1,1,255,Gunnery,16,Skill,ico3300.png
Small Projectile Turret,Operation of small projectile turrets. 5% Bonus to small projectile turret damage per level.,104477878760541533440393306960433951981775401713549993423775261438941510837818,3302,0.01,0,1,1,255,Gunnery,16,Skill,ico3302.png
Rapid Firing,Skill at the rapid discharge of weapon turrets. 4% bonus per skill level to weapon turret rate of fire.,105582758471000050392599736865692863046306692670917440199382179131157698473139,3310,0.01,0,1,1,255,Gunnery,16,Skill,ico3310.png
Sharpshooter,Skill at long-range weapon turret firing. 5% bonus to weapon optimal range per skill level.,79702821725569935199705290683334624628170901411235425575948963957789529364351,3311,0.01,0,1,1,255,Gunnery,16,Skill,ico3311.png
Motion Prediction,Improved ability at hitting moving targets. 5% bonus per skill level to weapon turret tracking speeds.,47989375746575616287012686557451004112834613065842593409950707373837959029335,3312,0.01,0,1,1,255,Gunnery,16,Skill,ico3312.png
Surgical Strike,Knowledge of spaceships' structural weaknesses. 3% bonus per skill level to the damage of all weapon turrets.,61251990197774445234363230627481149420326239906750006892655030829415735789228,3315,0.01,0,1,1,255,Gunnery,16,Skill,ico3315.png
Controlled Bursts,Allows better control over the capacitor use of weapon turrets. 5% reduction in capacitor need of weapon turrets per skill level.,67272601677236034975738154093847099319534927290686215494747381888805838658564,3316,0.01,0,1,1,255,Gunnery,16,Skill,ico3316.png
Weapon Upgrades,"Knowledge of gunnery computer systems, including the use of weapon upgrade modules. 5% reduction per skill level in the CPU needs of weapon turrets, launchers and smartbombs.",36462789437369437892578698981925111584504709857366346700890013721848654985372,3318,0.01,0,,1,1216,Engineering,16,Skill,ico3318.png
Spaceship Command,The basic operation of spaceships. 2% improved ship agility for all ships per skill level.,9588165924950418757574861892682706559589185065943164663866756566491660898140,3327,0.01,0,1,1,257,Spaceship Command,16,Skill,ico3327.png
Corporation Management,"Basic corporation operation. +20 corporation members allowed per level.

Note: The CEO must update his corporation through the corporation user interface before the skill takes effect",111276524952934621193114566104505939334863450725037071121582969075211819603531,3363,0.01,0,1,1,266,Corporation Management,16,Skill,ico3363.png
Industry,Allows basic operation of factories. 4% reduction in manufacturing time per skill level.,29309620575960944447209672674992046311410891907386459047094077329588958048495,3380,0.01,0,1,1,268,Production,16,Skill,ico3380.png
Mining,Skill at using mining lasers. 5% bonus to mining turret yield per skill level.,115194911669836111575228043326084198469810109562228215441969032459931658053949,3386,0.01,0,1,1,1218,Resource Processing,16,Skill,ico3386.png
Mass Production,Allows the operation of multiple factories. Ability to run 1 additional manufacturing job per level.,13229125592853177193502528230153235658982074030993273237506626852478170809260,3387,0.01,0,1,1,268,Production,16,Skill,ico3387.png
Reprocessing Efficiency,"Advanced skill at using reprocessing facilities in station, outposts and starbases to break ores and ice down into refined products.

2% bonus to ore and ice reprocessing yield per skill level.",86029218161732945380874589464125921026991821015513516704682421414049175221189,3389,0.01,0,1,1,1218,Resource Processing,16,Skill,ico3389.png
Mechanics,Skill at maintaining the mechanical components and structural integrity of a spaceship. 5% bonus to structure hit points per skill level.,93698358582668629191528314346700986616683056081355225075249872709236635123599,3392,0.01,0,1,1,1210,Armor,16,Skill,ico3392.png
Repair Systems,"Operation of armor/hull repair modules. 5% reduction in repair systems duration per skill level.

Note: Has no effect on capital sized modules.",107318771400721493737041346889150567516239172068257522714020042513104683885732,3393,0.01,0,1,1,1210,Armor,16,Skill,ico3393.png
Hull Upgrades,Skill at maintaining your ship's armor and installing hull upgrades like expanded cargoholds and inertial stabilizers. Grants a 5% bonus to armor hit points per skill level.,23582165300639587190758035660572392723457128866269733240673785605285749197348,3394,0.01,0,1,1,1210,Armor,16,Skill,ico3394.png
Power Grid Management,Basic understanding of spaceship energy grid systems. 5% Bonus to ship's powergrid output per skill level.,39968411946348531585566275211013865140714674238934839274253555369793286133944,3413,0.01,0,1,1,1216,Engineering,16,Skill,ico3413.png
Capacitor Management,Skill at regulating your ship's overall energy capacity. 5% bonus to capacitor capacity per skill level.,87364675510509915369484358227765857953700674397521805842743323229157517293882,3418,0.01,0,1,1,1216,Engineering,16,Skill,ico3418.png
Energy Grid Upgrades,Skill at installing power upgrades e.g. capacitor battery and power diagnostic units. 5% reduction in CPU needs of modules requiring Energy Grid Upgrades per skill level.,114063364559496426041851716192262828063675005496718001958092016088220230897255,3424,0.01,0,,1,1216,Engineering,16,Skill,ico3424.png
CPU Management,Basic understanding of spaceship sensory and computer systems. 5% Bonus to ship CPU output per skill level.,81194749587158874774340920490331105297843465457731494165233373197257588634796,3426,0.01,0,1,1,1216,Engineering,16,Skill,ico3426.png
Long Range Targeting,Skill at long range targeting. 5% Bonus to targeting range per skill level.,55421156228263243177025838957925473055942472372040516454032352832244965672815,3428,0.01,0,1,1,1213,Targeting,16,Skill,ico3428.png
Target Management,"Skill at targeting multiple targets. +1 extra target per skill level, up to the ship's maximum allowed number of targets locked.",74528373191486703638280184981425828240074367016445006154121880011519345947586,3429,0.01,0,1,1,1213,Targeting,16,Skill,ico3429.png
Signature Analysis,Skill at operating Targeting systems. 5% improved targeting speed per skill level.,59701218048709322915837140588837886141689880160586509044593250535172954493517,3431,0.01,0,1,1,1213,Targeting,16,Skill,ico3431.png
Trade,Knowledge of the market and skill at manipulating it. Active buy/sell order limit increased by 4 per level of skill.,72003628447704751147445748016236578134776006162237120523069238062238931486112,3443,0.01,0,1,1,274,Trade,16,Skill,ico3443.png
Navigation,Skill at regulating the power output of ship thrusters. 5% bonus to sub-warp ship velocity per skill level.,63757669775301767960225230841506436816999501554926093966084344487448601160184,3449,0.01,0,1,1,275,Navigation,16,Skill,ico3449.png
Afterburner,Skill at using afterburners. 5% reduction to Afterburner duration and 10% reduction in Afterburner capacitor use per skill level.,38937628084714332604427358887457317652225439685852276207592156294817418599110,3450,0.01,0,1,1,275,Navigation,16,Skill,ico3450.png
Fuel Conservation,Skill at improved control over afterburner energy consumption. 10% reduction in afterburner capacitor needs per skill level.,14555230330731956641544313815666514912908011728843756282460065595255071308948,3451,0.01,0,1,1,275,Navigation,16,Skill,ico3451.png
Evasive Maneuvering,Improved skill at efficiently turning and accelerating a spaceship. 5% improved ship agility for all ships per skill level.,86588128926231311427743660872640118416737674081957236536899683410492755176742,3453,0.01,0,1,1,275,Navigation,16,Skill,ico3453.png
High Speed Maneuvering,Skill at using Microwarpdrives. 5% reduction in Microwarpdrive capacitor usage per skill level.,1775751095577774462417868546622197437160827754682238222797953297805713308565,3454,0.01,0,1,1,275,Navigation,16,Skill,ico3454.png
Warp Drive Operation,Skill at managing warp drive efficiency. 10% reduction in capacitor need of initiating warp per skill level.,7020806276315212555603459753176542863380085094772204931578232421139329123753,3455,0.01,0,1,1,275,Navigation,16,Skill,ico3455.png
Encounter Surveillance System,"CONCORD has centralized the Encounter Surveillance System program under the authority of the Secure Commerce Commission. ESS installations have been placed in star systems eligible for enhanced bounty programs by the SCC.

Once operated on a freelancer basis by individual empires, the ESS program was re-organized under SCC control to improve efficiency, and combat corruption and financial crimes by pirate groups.

<b>Main Bank</b>

The Main Bank is a datavault within the ESS that stores LUX in the form of Encrypted Bonds. The Main Bank is used for periodic payouts of its stored value, with the LUX digitally paid to the bounty contributors' wallets, unless it is broken into and emptied by a third party first.

<b>Reserve Bank</b>

The Reserve Bank is another, higher security datavault within the ESS that stores LUX in the form of Encrypted Bonds. This bank is locked, does not make periodic payments, and can only be accessed with a specifically coded Reserve Security Key.",80263852618157406848516287615588816804313003796024944815905050386075410607571,55914,200,100000,1,1,4079,Encounter Surveillance System,2,Celestial,
Frontier Geodata Chip,"This chip contains data collected by rogue AI surveying the biomes and spacial phenomenon in the frontier.

It may have value to local corporations and factions interested in exploiting the cluster.",29607521613674262502738626316646922861597743962588742116570419373503146409261,72244,0.01,1,,,4142,Rogue Drone Analysis Data,17,Commodity,ico72244.png
Frontier Starter Pack,This pack contains a ship and basic fitting necessary to get started in the frontier.,16737235423604317614518791345066654609237621922301698386809734944927392598725,72888,100000,,,,1194,Special Edition Commodities,63,Special Edition Assets,ico72888.png
Gate Pass (old),Gate pass item which can be minted onto chain to exist as an NFT,97710393372431011012051751918475327327964985887414214430214655506254492716305,73047,0.01,,,,1301,Services,5,Accessories,ico73047.png
Mining Pass (old),Mining pass item which can be minted onto chain to exist as an NFT,38514315013744909516999714268230856227608102717391118912221021075459802672339,73048,0.01,,,,1301,Services,5,Accessories,ico73048.png
Ophidian Sensor Cloak,"Can be minted to blockchain as an NFT. Ownership of NFT will prevent haunted rogue drones from locking you.

<b>note: Must be minted to take affect and must be minted in a station</b>",35296839137814353544128366050722785041609053374464988244460404520135034234064,73192,1,,,,4475,License,17,Commodity,ico73192.png
Bridgehead 08 Key,"A key containing a dedicated access algorithm, that unlocks the stargate to Frontier.

Once built and while docked in station, initiate Gate access by right-clicking the item and selecting 'Activate'.",76281450467568561225228285979214178292013849431680297308772245460890745965450,73193,0.001,0,1,1,4475,License,17,Commodity,ico73193.png
Askur Access Code Cypher,A complex cypher which may be useful for activating the gate to Askur,33867159742046224891029119403430473925610526404720033231716286361718656023537,73210,0.1,0.1,,,526,Commodities,17,Commodity,ico73210.png
Askur Hive Orders,A script for constellation patrol with origins in Askur. This may be useful for activating the Askur gate.,89000957565012922116797885426223492410981965470880179402566982222897540726000,73264,0.1,0.1,,,526,Commodities,17,Commodity,ico73264.png
Settler Intelligence Briefing,"Hostile rogue drones hunt and scavenge every system in this constellation we call Phoenix. They grow stronger as you move away from Angelice. They are reported more commonly near planets but sightings occur almost anywhere.

Large asteroid clusters have been cataloged in each system. In some, a large rogue drone structure appears to be devouring the raw ore and so the Settlers have begun calling the clusters 'Moon Eater'. Another location with dense resources has been found, but exploration attempts have failed due to an infested Abaddon who sits on watch. Ophidia Operations, based in Serpentis, are working on a technology to provide concealment.

Your starter pack contains a blueprint we believe will provide access to the system Askur, which is currently locked by sophisticated encryption. We don't know what Askur has in store.

Settler security forces have not yet been established, guard yourself. However, should your ship be destroyed, starter packs can be purchased from the market here in Angelice.",55928628847776509147645674724154498362619400516607442720930309957155230384936,73314,0.1,0.1,,,280,General,17,Commodity,ico73314.png
Crude Extractor,Module used in the extraction of crude matter required for all types of fuel by drawing exotic material through a crude rift. Deactivating this module in the middle of an extraction cycle will result in a full single use of the Lens 3X and a relative yield of the cycle duration.,69702010843210654463395042632849428488648503186291078956413944779512573965525,77484,50,26800,25,1,4767,Crude Extractor,7,Module,ico77484.png
Lens 3X,"For use with Crude Extractors only.
One Lens lasts 3 extraction cycles.

Exclusive to Exclave Ventures, the Lens is a key to the Crude Matter extraction process.
Activated in compliance with Exclave Protocol. Calibrated Squeezed Light Lens is a restricted asset, terms and conditions apply.",112603025077760770783264636189502217226733230421932850697496331082050661822826,77518,10,1,1,1,4763,Crude Mining Lens,8,Charge,ico77518.png
Sophrogon,"Sophrogon is a hyper-crystal derived from the transformation of Old Crude Matter. Its presence alters the electromagnetic flows around it, creating a shimmering aura that is both beautiful and disconcerting. The crystal's structure is incredibly complex, with layers of intricate patterns that seem to hold a wealth of untapped information. When split, the Sophrogon releases its stored energy in a controlled manner, allowing for the extraction of valuable fuel components. Yet, the process is not without risk, as the crystal's inherent defenses can trigger unpredictable reactions.",29102578060528968749145086932970293087432106991083526335623258582162449327439,77728,1,1500,1,1,18,Mineral,4,Material,ico77728.png
Old Crude Matter,"Old Crude Matter exudes a quiet, contemplative energy. Its complex structures, reminiscent of intricate computational networks, slowly shift and rearrange in patterns that hint at some form of calculation. The matter is less volatile than its younger counterpart, but no less challenging to extract. It seems to subtly resist the extraction process, its structures morphing and adapting in ways that confound even the most advanced analysis. The fuel derived from Old Crude Matter may not burn as bright, but it imparts unique properties to electronics, enabling them to perform computations beyond the reach of conventional technology.",70498461484708912798798178711723372975277261441678958385150765674346176266102,77729,1,1538.461538,1,30,4593,Crude Matter,25,Asteroid,ico77729.png
Engine uSOF XS,"Engine uSOF XS

Extra small Corvette Engine.

Runs exclusively on low quality uSOF-30 Fuel",6149291741460201811866845412446208693026741727590023832226314934654789300339,77753,15,2000,1,1,4741,Corvette Engines,7,Module,ico77753.png
Shield Micro-Generator S,This fitting increases the maximum strength of the shield at the expense of capacitor storage. It draws constant power from the capacitor energy reserves to generate shielding.,42546217500989139321090447414932711264320351727239820990143386399364369438382,77783,12,4000,1,1,38,Shield Extender,7,Module,ico77783.png
Jauv,"A corvette platform. The Jauv, despite its simplified engineering and low cost, is compatible with most small ship equipment making it an excellent tool for survival in the solo execution of heavy-duty tasks. This hull is the only vessel universally cleared for operation within and egress from the Awakening zone.

Deployed by KEEP under the license of KODACHI SHIPYARDS.",40277189797043962521595171783180406605704362940400179653134915410082365365066,77799,20300,15274520,30,1,237,Corvette,6,Ship,
Common Ore,"A Common Asteroid represents an abundant source of diverse resources crucial for advanced space industry. Enriched with Iron and Nickel, these asteroids provide durable materials for spaceship hulls and engine components. They harbor light metals like Aluminum, used for constructing lightweight yet robust spaceship parts, optimizing fuel efficiency and maneuverability. Precious elements such as Platinum and Gold can be extracted for high-end electronics and power systems. Common Asteroids also house a wealth of Silicates, which can be processed into Silicon, a fundamental element in crafting sophisticated electronic and computer systems. Finally, the presence of Carbonaceous compounds allows for the production of complex organic materials and carbon fiber structures, granting enhanced durability to spacecrafts without significantly increasing their weight.",54949089622078329307676094148632864879426651785510047822079265544250486580483,77800,1,2513.089005,1,10,4597,Natural Resources,25,Asteroid,ico77800.png
Iron-Nickel Metals,"Many asteroids contain a substantial amount of these heavy metals. They are the backbone of advanced spaceship construction, providing durable materials for the ship’s hull, engine components, life-support systems, and other mechanical parts.",109799403725196635337378305689225893760318248957057818198043308387201350662753,77801,0.01,80,1,1,18,Mineral,4,Material,ico77801.png
Light Metals,"Light metals, such as aluminum, are abundant in some asteroids. They’re utilized for crafting lightweight but robust structures and components of the spaceship, thereby maximizing fuel efficiency and maneuverability.",68779146033766459620749640621600227429813312080304321593274000205243697544338,77802,0.01,40,1,1,18,Mineral,4,Material,ico77802.png
Silicates,"Silicates are the most common type of minerals found in asteroids and can be processed to extract Silicon. Silicon is fundamental to manufacturing electronic and computer systems that form the brain of advanced spacecraft, controlling everything from navigation to communication systems.",101566323435732540889167848324699621054641644394678449818508966615754276560108,77803,0.01,30,1,1,18,Mineral,4,Material,ico77803.png
Carbonaceous Materials,"These resources, commonly found in certain types of asteroids, are essential for the manufacturing of complex organic compounds, polymers, and even carbon fiber structures. Carbon fiber, in particular, is widely used in the construction of spacecraft due to its high strength-to-weight ratio, providing enhanced durability without significantly increasing the overall weight of the craft.",67539460570141130210602804740741713520841609498087038683097815612825937901250,77804,0.01,20,1,1,18,Mineral,4,Material,ico77804.png
Precious Metals and Elements,"These rare resources extracted from asteroids play a crucial role in the spacecraft’s sophisticated electronics and power systems, including solar panels, batteries, and advanced sensors.",74173010444644206227287422791905021192310269495960358698187435007972125956250,77805,0.0001,2,1,1,18,Mineral,4,Material,ico77805.png
Metal-rich Ore,"A Metal-rich Asteroid primarily consists of dense, metallic elements. These celestial bodies are laden with a rich concentration of Iron-Nickel and Precious Metals and Elements, making them particularly valuable for crafting durable spacecraft structures and advanced electronics. The presence of Aluminum further augments its construction potential. However, for comprehensive manufacturing processes, additional resources may need to be sourced due to the lesser quantities of Silicates and Carbonaceous Compounds.",12872564043197501439020782955202507852681395762812466934723664611575277431073,77810,1,4007.212983,1,10,4597,Natural Resources,25,Asteroid,ico77810.png
Carbonaceous Ore,"A Carbonaceous Asteroid is characterized by its high concentration of Carbonaceous Compounds, vital for producing organic materials and carbon fiber structures. It's also a favorable source for Silicates, used in silicon-based electronics, and Precious Metals and Elements for high-end systems. While Iron-Nickel and Aluminum are present, their relatively lesser concentrations might necessitate supplementary mining for a complete spacecraft construction requirement.",9540969374646031328134197690309428632894452754236413416084198707556493884019,77811,1,1666.666667,1,10,4597,Natural Resources,25,Asteroid,ico77811.png
uSOF-30 Fuel,"A synthetic blend with minor inclusions of unleaded natural metamatter. Suitable for fueling basic systems like Fabricator ergocytes and small feral drones. However, its high information sediment content renders it unsuitable for larger or advanced systems.",17190961797274822652727777991308785890587906484718369996777961591379039493110,77818,0.28,1,1,1,4598,Corvette Fuel,17,Commodity,ico77818.png
Asteroid Mining Laser,Placeholder,97887145486406935276191533352581728002281257158450410660311615722463021223942,77852,50,26800,25,1,4765,Asteroid Mining Laser,7,Module,ico77852.png
Smart Storage Unit,,29401472878344662090066481807354215296761459897125530548117460336526135254465,77917,15000,10000,2500,1,4602,Smart Deployable,22,Deployable,
